id	Peptide IDs	Mod. Peptide IDs	Evidence IDs	MS/MS IDs	Oxidation (M) Site IDs	Phospho (STY) Site IDs	Oxidation (M) Site Positions	Phospho (STY) Site Positions	Protein IDs	Majority Protein IDs	Peptide Counts (all)	Peptide Counts (razor+unique)	Peptide Counts (unique)	Protein Names	Gene Names	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides MAPK1_E322K	Peptides MAPK1_WT	Razor + unique Peptides MAPK1_E322K	Razor + unique Peptides MAPK1_WT	Unique Peptides MAPK1_E322K	Unique Peptides MAPK1_WT	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment MAPK1_E322K	Experiment MAPK1_WT	PEP	Sequence Coverage MAPK1_E322K [%]	Sequence Coverage MAPK1_WT [%]	Intensity	Intensity MAPK1_E322K	Intensity MAPK1_WT	iBAQ	iBAQ MAPK1_E322K	iBAQ MAPK1_WT	LFQ Intensity MAPK1_E322K	LFQ Intensity MAPK1_WT	MS/MS Count MAPK1_E322K	MS/MS Count MAPK1_WT	Only identified by site	Reverse	Contaminant 
230	379;723;748;1433	397;755;780;1481	882;883;1707;1769;1770;3366;3367	737;1468;1516;2895		328;329;1383;1384;1385		704;1427;1501;1811;1813	P46821	P46821	4	4	4	MAP1 light chain LC1;Microtubule-associated protein 1B	MAP1B	>P46821|MAP1B_HUMAN Microtubule-associated protein 1B |Homo sapiens	1	4	4	4	3	4	3	4	3	4	2.6	2.6	2.6	270.63	2468	3	4	1.2474E-07	2.2	2.6	0	0	0	0	0	0	0	0	0	0			
231	278	292	662	575		1386		38	P47897	P47897	1	1	1	Glutamine--tRNA ligase;Glutaminyl-tRNA synthetase	QARS	>P47897|SYQ_HUMAN Glutamine--tRNA ligase |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.1	2.1	2.1	87.798	775		1	0.08045	0	2.1	0	0	0	0	0	0	0	0	0	0	+		
232	295;734	309;766	697;698;1736;1737;1738;1739	598;1489;1490;1491		330;331		380;1147	P48634	P48634	2	2	2	HLA-B-associated transcript 2;Large proline-rich protein BAT2;Protein G2	BAT2;G2	>P48634|PRC2A_HUMAN Protein PRRC2A |Homo sapiens	1	2	2	2	2	2	2	2	2	2	1.7	1.7	1.7	228.86	2157	3	3	1.6669E-05	1.7	1.7	0	0	0	0	0	0	0	0	0	0			
233	0;294;387;652;718	0;308;405;681;750	0;1;695;696;904;1534;1535;1693;1694	0;596;597;751;1320;1457		332;1387		104;148	P49006	P49006	5	5	5	Macrophage myristoylated alanine-rich C kinase substrate;MARCKS-like protein 1;MARCKS-related protein	MARCKSL1;MLP;MRP	>P49006|MRP_HUMAN MARCKS-related protein |Homo sapiens	1	5	5	5	4	5	4	5	4	5	33.8	33.8	33.8	19.529	195	4	5	2.0334E-100	28.7	33.8	2459200	474100	1985100	351320	67728	283590	1258700	2135500	1	2			
234	362;1453;1526	380;1501;1575	847;848;849;850;3405;3570;3571	712;713;2929;3053;3054		333;334;335;336;337;1388		85;106;318;320;321;322	P49023	P49023	3	3	3	Paxillin	PXN	>P49023|PAXI_HUMAN Paxillin |Homo sapiens	1	3	3	3	2	3	2	3	2	3	11	11	11	64.505	591	3	4	4.1134E-10	5.9	11	0	0	0	0	0	0	0	0	0	0			
235	1648	1703	3829;3830	3272;3273;3274		338		343	P49585	P49585	1	1	1	CCT-alpha;Choline-phosphate cytidylyltransferase A;CTP:phosphocholine cytidylyltransferase A;Phosphorylcholine transferase A	CTPCT;PCYT1;PCYT1A	>P49585|PCY1A_HUMAN Choline-phosphate cytidylyltransferase A |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.9	4.9	4.9	41.731	367	1	1	0.00064733	4.9	4.9	0	0	0	0	0	0	0	0	0	0			
236	1004	1047	2380;2381	2038		339;340;1389		25;26;27	P49736	P49736	1	1	1	DNA replication licensing factor MCM2;Minichromosome maintenance protein 2 homolog;Nuclear protein BM28	BM28;CCNL1;CDCL1;KIAA0030;MCM2	>P49736|MCM2_HUMAN DNA replication licensing factor MCM2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.3	1.3	1.3	101.89	904	1	1	0.00085331	1.3	1.3	0	0	0	0	0	0	0	0	0	0			
237	564;565	585;586	1310;1311;1312;1313;1314;1315;1316;1317	1096;1097;1098;1099;1100;1101;1102;1103		341		675	P49756	P49756	2	2	2	Arg/Glu/Asp-rich protein of 120 kDa;Protein S164;RNA-binding motif protein 25;RNA-binding protein 25;RNA-binding region-containing protein 7	RBM25;RNPC7	>P49756|RBM25_HUMAN RNA-binding protein 25 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	1.8	1.8	1.8	100.18	843	4	4	4.6848E-35	1.8	1.8	0	0	0	0	0	0	0	0	0	0			
238	703	735	1666;1667	1435		342;343;344;1390;1391		240;241;243;244;246	P49757	P49757	1	1	1	Protein numb homolog;Protein S171	NUMB	>P49757|NUMB_HUMAN Protein numb homolog |Homo sapiens	1	1	1	1	1	1	1	1	1	1	7.1	7.1	7.1	70.803	651	1	1	0.0010156	7.1	7.1	0	0	0	0	0	0	0	0	0	0			
239	1671	1727	3876;3877	3313		1584		155	P49761	P49761	1	1	1	CDC-like kinase 3;Dual specificity protein kinase CLK3	CLK3	>P49761|CLK3_HUMAN Dual specificity protein kinase CLK3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	73.514	638	1	1	0.019947	2	2	0	0	0	0	0	0	0	0	0	0			
240	204;1600	213;1653	512;513;3734;3735	441;442;3189;3190;3191		345;346;1392		519;520;687	P49790	P49790	2	2	2	153 kDa nucleoporin;Nuclear pore complex protein Nup153;Nucleoporin Nup153	NUP153	>P49790|NU153_HUMAN Nuclear pore complex protein Nup153 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	1.8	1.8	1.8	153.94	1475	2	2	0.00010155	1.8	1.8	0	0	0	0	0	0	0	0	0	0			
241	685	716	1626	1397		347;1393		209;210	P49916	P49916	1	1	1	DNA ligase 3;DNA ligase III;Polydeoxyribonucleotide synthase [ATP] 3	LIG3	>P49916|DNLI3_HUMAN DNA ligase 3 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	2.3	2.3	2.3	112.91	1009		1	0.016665	0	2.3	0	0	0	0	0	0	0	0	0	0			
242	581	602	1355;1356;1357;1358;1359	1134;1135;1136;1137;1138;1139;1140		348		112	P50479	P50479	1	1	1	LIM protein RIL;PDZ and LIM domain protein 4;Reversion-induced LIM protein	PDLIM4;RIL	>P50479|PDLI4_HUMAN PDZ and LIM domain protein 4 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.8	4.8	4.8	35.398	330	3	2	1.3903E-09	4.8	4.8	0	0	0	0	0	0	0	0	0	0			
243	1140	1186	2675;2676;2677	2273;2274					P50579	P50579	1	1	1	Initiation factor 2-associated 67 kDa glycoprotein;Methionine aminopeptidase 2;p67eIF2;Peptidase M 2	METAP2;MNPEP;P67EIF2	>P50579|AMPM2_HUMAN Methionine aminopeptidase 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.2	5.2	5.2	52.891	478	1	2	2.318E-05	5.2	5.2	1764900	78350	1686600	58831	2611.7	56219	0	1686600	0	2			
244	11	12	29;30	22		349		139	P50914	P50914	1	1	1	60S ribosomal protein L14;CAG-ISL 7	RPL14	>P50914|RL14_HUMAN 60S ribosomal protein L14 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.2	4.2	4.2	23.432	215	1	1	0.051114	4.2	4.2	0	0	0	0	0	0	0	0	0	0	+		
245	371	389	866;867	727		350		72	P51149	P51149	1	1	1	Ras-related protein Rab-7a	RAB7;RAB7A	>P51149|RAB7A_HUMAN Ras-related protein Rab-7a |Homo sapiens	1	1	1	1	1	1	1	1	1	1	4.8	4.8	4.8	23.489	207	1	1	0.0090422	4.8	4.8	0	0	0	0	0	0	0	0	0	0			
246	1354	1402	3187;3188	2734;2735		351;352		2;3	P51397	P51397	1	1	1	Death-associated protein 1	DAP;DAP1	>P51397|DAP1_HUMAN Death-associated protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	10.8	10.8	10.8	11.164	102	1	1	0.024342	10.8	10.8	0	0	0	0	0	0	0	0	0	0			
247	1570	1621	3668;3669	3132		353		216	P51608	P51608	1	1	1	Methyl-CpG-binding protein 2	MECP2	>P51608|MECP2_HUMAN Methyl-CpG-binding protein 2 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2.5	2.5	2.5	52.44	486	1	1	0.093445	2.5	2.5	0	0	0	0	0	0	0	0	0	0	+		
248	193;1070;1466	202;1114;1515	474;475;2528;2529;3431;3432	401;402;2153;2947		354;355;356;357		666;1507;2019;2020	P51610	P51610	3	3	3	C1 factor;CFF;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;Host cell factor 1;VCAF;VP16 accessory protein	HCF1;HCFC1;HFC1	>P51610|HCFC1_HUMAN Host cell factor 1 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	3	3	3	208.73	2035	3	3	5.065E-09	3	3	0	0	0	0	0	0	0	0	0	0			
249	52;53	53;54	118;119;120;121;122;123	91;92;93;94;95;96;97;98;99;100		358		165	P51858	P51858	2	2	2	Hepatoma-derived growth factor;High mobility group protein 1-like 2	HDGF;HMG1L2	>P51858|HDGF_HUMAN Hepatoma-derived growth factor |Homo sapiens	1	2	2	2	2	2	2	2	2	2	5.4	5.4	5.4	26.788	240	3	3	4.8359E-24	5.4	5.4	0	0	0	0	0	0	0	0	0	0			
250	390;1353	408;1400;1401	908;909;3184;3185;3186	754;2732;2733		359;360;361		355;356;358	P51991	P51991	2	2	2	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3;HNRPA3	>P51991|ROA3_HUMAN Heterogeneous nuclear ribonucleoprotein A3 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	11.9	11.9	11.9	39.594	378	3	2	1.218E-15	11.9	11.9	1115500	402640	712830	55774	20132	35642	0	712830	0	1			
251	472	491	1090;1091	909;910		362		181	P52594	P52594	1	1	1	Arf-GAP domain and FG repeats-containing protein 1;HIV-1 Rev-binding protein;Nucleoporin-like protein RIP;Rev/Rex activation domain-binding protein;Rev-interacting protein	AGFG1;HRB;RAB;RIP	>P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	2	2	2	58.259	562	1	1	0.026203	2	2	0	0	0	0	0	0	0	0	0	0			
252	785;889	818;929	1855;1856;1857;1858;2090	1590;1591;1592;1593;1594;1595;1776		363;364;365		44;59;61	P52926	P52926	2	2	2	High mobility group AT-hook protein 2;High mobility group protein HMGI-C	HMGA2;HMGIC	>P52926|HMGA2_HUMAN High mobility group protein HMGI-C |Homo sapiens	1	2	2	2	1	2	1	2	1	2	21.1	21.1	21.1	11.832	109	2	3	9.3917E-22	11.9	21.1	0	0	0	0	0	0	0	0	0	0			
253	257	270	620;621	537		366		623	P52948	P52948	1	1	1	96 kDa nucleoporin;98 kDa nucleoporin;Nuclear pore complex protein Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup98-Nup96;Nucleoporin Nup96;Nucleoporin Nup98	ADAR2;NUP98	>P52948|NUP98_HUMAN Nuclear pore complex protein Nup98-Nup96 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.9	0.9	0.9	197.58	1817	1	1	0.043099	0.9	0.9	0	0	0	0	0	0	0	0	0	0			
254	106	110	244	189		367		481	P53396	P53396	1	1	1	ATP-citrate (pro-S-)-lyase;ATP-citrate synthase;Citrate cleavage enzyme	ACLY	>P53396|ACLY_HUMAN ATP-citrate synthase |Homo sapiens	1	1	1	1	0	1	0	1	0	1	1.3	1.3	1.3	120.84	1101		1	0.090327	0	1.3	0	0	0	0	0	0	0	0	0	0	+		
255	831	867;868	1968;1969;1970;1971;1972;1973	1684;1685;1686;1687;1688;1689;1690	22		297		P53597	P53597	1	1	1	Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial;Succinyl-CoA synthetase subunit alpha	SUCLG1	>P53597|SUCA_HUMAN Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.5	3.5	3.5	36.249	346	3	3	0.0012385	3.5	3.5	8025000	684140	7340800	535000	45609	489390	0	7340800	3	4			
256	6;1260	7;1307	18;19;2969;2970	13;2562;2563		368;369		213;498	P53985	P53985	2	2	2	Monocarboxylate transporter 1;Solute carrier family 16 member 1	MCT1;SLC16A1	>P53985|MOT1_HUMAN Monocarboxylate transporter 1 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	5.6	5.6	5.6	53.944	500	2	2	4.0734E-25	5.6	5.6	0	0	0	0	0	0	0	0	0	0			
257	124;1134	131;1180	299;2661	231;2257		370;371		238;775	P54253	P54253	2	2	2	Ataxin-1;Spinocerebellar ataxia type 1 protein	ATX1;ATXN1;SCA1	>P54253|ATX1_HUMAN Ataxin-1 |Homo sapiens	1	2	2	2	0	2	0	2	0	2	4.7	4.7	4.7	86.922	815		2	0.00058402	0	4.7	0	0	0	0	0	0	0	0	0	0			
258	448;979	466;1022	1035;1036;2319	872;1985		372;373		34;645	P54259	P54259	2	2	2	Atrophin-1;Dentatorubral-pallidoluysian atrophy protein	ATN1;D12S755E;DRPLA	>P54259|ATN1_HUMAN Atrophin-1 |Homo sapiens	1	2	2	2	1	2	1	2	1	2	2.4	2.4	2.4	125.41	1190	1	2	0.00023601	1.6	2.4	0	0	0	0	0	0	0	0	0	0			
259	936	978	2193;2194	1854		374		160	P54727	P54727	1	1	1	UV excision repair protein RAD23 homolog B;XP-C repair-complementing complex 58 kDa protein	RAD23B	>P54727|RD23B_HUMAN UV excision repair protein RAD23 homolog B |Homo sapiens	1	1	1	1	1	1	1	1	1	1	7.1	7.1	7.1	43.171	409	1	1	0.00027297	7.1	7.1	0	0	0	0	0	0	0	0	0	0			
260	571	592	1332;1333	1117		375		442	P55199	P55199	1	1	1	Eleven-nineteen lysine-rich leukemia protein;RNA polymerase II elongation factor ELL	C19orf17;ELL	>P55199|ELL_HUMAN RNA polymerase II elongation factor ELL |Homo sapiens	1	1	1	1	1	1	1	1	1	1	3.4	3.4	3.4	68.264	621	1	1	0.024115	3.4	3.4	0	0	0	0	0	0	0	0	0	0			
261	1474	1523	3448;3449;3450;3451	2958;2959		376		825	P55265	P55265	1	1	1	136 kDa double-stranded RNA-binding protein;Double-stranded RNA-specific adenosine deaminase;Interferon-inducible protein 4;K88DSRBP	ADAR;ADAR1;DSRAD;G1P1;IFI4	>P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase |Homo sapiens	1	1	1	1	1	1	1	1	1	1	1.1	1.1	1.1	136.06	1226	2	2	0.0126	1.1	1.1	0	0	0	0	0	0	0	0	0	0			
262	411;850	429;888	958;959;2009;2010	796;797;1718		377;378;379;380		35;38;41;105	P56181	P56181	2	2	2	Complex I-9kD;NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial;NADH-ubiquinone oxidoreductase 9 kDa subunit;Renal carcinoma antigen NY-REN-4	NDUFV3	>P56181|NDUV3_HUMAN NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial |Homo sapiens	1	2	2	2	1	2	1	2	1	2	27.8	27.8	27.8	11.94	108	1	3	0.0023089	12	27.8	0	0	0	0	0	0	0	0	0	0			
263	1321	1368	3109;3110	2673		381		228	P56749	P56749	1	1	1	Claudin-12	CLDN12	>P56749|CLD12_HUMAN Claudin-12 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	7	7	7	27.11	244	1	1	9.3852E-06	7	7	0	0	0	0	0	0	0	0	0	0			
264	972;1083	1015;1127	2306;2307;2555;2556	1976;1977;2175		382		2716	P58107	P58107	2	2	2	450 kDa epidermal antigen;Epiplakin	EPIPL;EPPK1	>P58107|EPIPL_HUMAN Epiplakin |Homo sapiens	1	2	2	2	2	2	2	2	2	2	2	2	2	555.61	5090	2	2	1.1429E-07	2	2	0	0	0	0	0	0	0	0	0	0			
265	787	820	1861;1862;1863;1864;1865	1597;1598;1599;1600;1601;1602;1603;1604;1605		383		58	P60174	P60174	1	1	1	Triosephosphate isomerase;Triose-phosphate isomerase	TPI;TPI1	>P60174|TPIS_HUMAN Triosephosphate isomerase |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.2	5.2	5.2	30.791	286	2	3	1.5133E-41	5.2	5.2	0	0	0	0	0	0	0	0	0	0			
266	919;920	961;962	2155;2156;2157;2158;2159;2160;2161;2162;2163	1820;1821;1822;1823;1824;1825;1826;1827;1828		384		17	P60468	P60468	2	2	2	Protein transport protein Sec61 subunit beta	SEC61B	>P60468|SC61B_HUMAN Protein transport protein Sec61 subunit beta |Homo sapiens	1	2	2	2	2	2	2	2	2	2	25	25	25	9.9743	96	5	4	4.4444E-12	25	25	0	0	0	0	0	0	0	0	0	0			
267	154	161	373;374	317;318;319;320		385		3	P60981	P60981	1	1	1	Actin-depolymerizing factor;Destrin	ACTDP;DSN;DSTN	>P60981|DEST_HUMAN Destrin |Homo sapiens	1	1	1	1	1	1	1	1	1	1	7.3	7.3	7.3	18.506	165	1	1	1.0625E-15	7.3	7.3	0	0	0	0	0	0	0	0	0	0			
268	271;593;595;599;994	284;285;616;618;622;1037	650;651;652;1396;1397;1400;1409;1410;2348;2349	561;562;563;564;565;566;1180;1184;1193;2011	23	386;387;388	283	116;216;284	P61978	P61978	5	5	5	Heterogeneous nuclear ribonucleoprotein K;Transformation up-regulated nuclear protein	HNRNPK;HNRPK	>P61978|HNRPK_HUMAN Heterogeneous nuclear ribonucleoprotein K |Homo sapiens	1	5	5	5	5	4	5	4	5	4	16	16	16	50.976	463	5	5	2.2172E-47	16	12.7	439830	439830	0	16917	16917	0	1307300	0	1	0			
269	246;877	259;917	602;2069	517;518;519;1761		291		46	P61981	P61981	2	1	1	14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed;Protein kinase C inhibitor protein 1	YWHAG	>P61981|1433G_HUMAN 14-3-3 protein gamma |Homo sapiens	1	2	1	1	0	2	0	1	0	1	11.3	8.1	8.1	28.302	247		1	1.2967E-09	0	11.3	2365300	0	2365300	131410	0	131410	0	2365300	0	3			
270	370;727;728	388;759;760	864;865;1717;1718;1719;1720;1721	726;1474;1475;1476;1477		389		186	P62070	P62070	3	3	3	Ras-like protein TC21;Ras-related protein R-Ras2;Teratocarcinoma oncogene	RRAS2;TC21	>P62070|RRAS2_HUMAN Ras-related protein R-Ras2 |Homo sapiens	1	3	3	3	3	3	3	3	3	3	7.8	7.8	7.8	23.399	204	3	4	7.7444E-08	7.8	7.8	0	0	0	0	0	0	0	0	0	0			
271	245;877	257;258;917	599;600;601;2069	514;515;516;1761	24	291	235	46	P62258	P62258	2	1	1	14-3-3 protein epsilon	YWHAE	>P62258|1433E_HUMAN 14-3-3 protein epsilon |Homo sapiens	1	2	1	1	1	2	1	1	1	1	14.9	11.8	11.8	29.174	255	1	2	2.0098E-96	11.8	14.9	7308000	314260	6993800	406000	17459	388540	0	6993800	0	3			
272	973	1016	2308	1978					P62269	P62269	1	1	1	40S ribosomal protein S18;Ke-3	D6S218E;RPS18	>P62269|RS18_HUMAN 40S ribosomal protein S18 |Homo sapiens	1	1	1	1	0	1	0	1	0	1	7.9	7.9	7.9	17.718	152		1	2.4911E-06	0	7.9	798090	0	798090	66508	0	66508	0	798090	0	1			
273	228	238	565;566	486;487					P62273	P62273	1	1	1	40S ribosomal protein S29	RPS29	>P62273|RS29_HUMAN 40S ribosomal protein S29 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	14.3	14.3	14.3	6.6767	56	1	1	0.00026694	14.3	14.3	2927100	48208	2878800	731760	12052	719710	0	2878800	0	2			
274	474	493	1094;1095	912					P62306	P62306	1	1	1	Sm protein F;Small nuclear ribonucleoprotein F	PBSCF;SNRPF	>P62306|RUXF_HUMAN Small nuclear ribonucleoprotein F |Homo sapiens	1	1	1	1	1	1	1	1	1	1	15.1	15.1	15.1	9.7251	86	1	1	7.3303E-32	15.1	15.1	623550	108950	514600	124710	21791	102920	0	514600	0	1			
275	1571	1622	3670;3671	3133					P62318	P62318	1	1	1	Small nuclear ribonucleoprotein Sm D3;snRNP core protein D3	SNRPD3	>P62318|SMD3_HUMAN Small nuclear ribonucleoprotein Sm D3 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	16.7	16.7	16.7	13.916	126	1	1	0.0043851	16.7	16.7	561450	203020	358430	62384	22558	39825	0	358430	0	1			
276	646	675	1523;1524	1310		390		43	P62750	P62750	1	1	1	60S ribosomal protein L23a	RPL23A	>P62750|RL23A_HUMAN 60S ribosomal protein L23a |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.1	5.1	5.1	17.695	156	1	1	0.0080409	5.1	5.1	0	0	0	0	0	0	0	0	0	0			
277	1471	1520	3442;3443	2954		391		10	P62888	P62888	1	1	1	60S ribosomal protein L30	RPL30	>P62888|RL30_HUMAN 60S ribosomal protein L30 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	9.6	9.6	9.6	12.784	115	1	1	0.090675	9.6	9.6	0	0	0	0	0	0	0	0	0	0	+		
278	1065;1103	1108;1148	2514;2515;2516;2598;2599	2142;2143;2144;2145;2211		392;393;1394		201;264;266	P62995	P62995	2	1	1	Splicing factor, arginine/serine-rich 10;Transformer-2 protein homolog B;Transformer-2 protein homolog beta	SFRS10;TRA2B	>P62995|TRA2B_HUMAN Transformer-2 protein homolog beta |Homo sapiens	1	2	1	1	2	2	1	1	1	1	10.1	6.9	6.9	33.665	288	1	2	3.9638E-14	10.1	10.1	0	0	0	0	0	0	0	0	0	0			
279	247;877;1414	260;917;1462	603;2069;3319	520;521;522;523;1761;2830		291		45	P63104;Q04917;P27348	P63104	3;1;1	3;1;1	2;0;0	14-3-3 protein zeta/delta;Protein kinase C inhibitor protein 1	YWHAZ	>P63104|1433Z_HUMAN 14-3-3 protein zeta/delta |Homo sapiens	3	3	3	2	0	3	0	3	0	2	18.4	18.4	15.1	27.745	245		3	1.1022E-82	0	18.4	970410	0	970410	51074	0	51074	0	970410	0	5			
280	862	902	2036;2037	1737					P63167	P63167	1	1	1	8 kDa dynein light chain;Dynein light chain 1, cytoplasmic;Dynein light chain LC8-type 1;Protein inhibitor of neuronal nitric oxide synthase	DLC1;DNCL1;DNCLC1;DYNLL1;HDLC1	>P63167|DYL1_HUMAN Dynein light chain 1, cytoplasmic |Homo sapiens	1	1	1	1	1	1	1	1	1	1	24.7	24.7	24.7	10.366	89	1	1	0.0062556	24.7	24.7	1260500	771420	489070	252100	154280	97814	0	489070	1	0			
281	1666	1722	3866;3867	3307					P63173	P63173	1	1	1	60S ribosomal protein L38	RPL38	>P63173|RL38_HUMAN 60S ribosomal protein L38 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	17.1	17.1	17.1	8.2178	70	1	1	0.018184	17.1	17.1	1756100	144520	1611600	585360	48172	537190	0	1611600	0	1			
282	427	445	996;997	841		1395		131	P63208	P63208	1	1	1	Cyclin-A/CDK2-associated protein p19;Organ of Corti protein 2;Organ of Corti protein II;p19A;p19skp1;RNA polymerase II elongation factor-like protein;SIII;S-phase kinase-associated protein 1;Transcription elongation factor B	EMC19;OCP2;SKP1;SKP1A;TCEB1L	>P63208|SKP1_HUMAN S-phase kinase-associated protein 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5.5	5.5	5.5	18.658	163	1	1	0.013441	5.5	5.5	0	0	0	0	0	0	0	0	0	0			
283	1677	1733	3893;3894	3327;3328					P63244	P63244	1	1	1	Cell proliferation-inducing gene 21 protein;Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-like protein 12.3;Human lung cancer oncogene 7 protein;Receptor for activated C kinase;Receptor of activated protein kinase C 1	GNB2L1;HLC7;PIG21	>P63244|GBLP_HUMAN Guanine nucleotide-binding protein subunit beta-2-like 1 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	5	5	5	35.076	317	1	1	0.013801	5	5	1186400	675910	510460	53926	30723	23203	0	510460	1	1			
284	2;286;287;914;1403	2;3;300;301;955;956;1451	4;5;6;7;8;9;677;678;679;680;681;682;2143;2144;2145;2146;2147;2148;3295;3296	2;3;4;5;584;585;586;587;588;1811;1812;1813;1814;1815;2816;2817		394;395;396		174;176;314	P67809	P67809	5	5	5	CCAAT-binding transcription factor I subunit A;DNA-binding protein B;Enhancer factor I subunit A;Nuclease-sensitive element-binding protein 1;Y-box transcription factor;Y-box-binding protein 1	NSEP1;YB1;YBX1	>P67809|YBOX1_HUMAN Nuclease-sensitive element-binding protein 1 |Homo sapiens	1	5	5	5	5	4	5	4	5	4	33.6	33.6	33.6	35.924	324	11	9	9.0009E-110	33.6	22.5	20671000	6400100	14271000	1476500	457150	1019400	14794000	18499000	4	3			
285	583	604	1361;1362	1142		397		209	P67870	P67870	1	1	1	Casein kinase II subunit beta;Phosvitin;Protein G5a	CK2N;CSNK2B;G5A	>P67870|CSK2B_HUMAN Casein kinase II subunit beta |Homo sapiens	1	1	1	1	1	1	1	1	1	1	9.8	9.8	9.8	24.942	215	1	1	0.039996	9.8	9.8	0	0	0	0	0	0	0	0	0	0			
286	717	749	1691;1692	1455;1456		398		891	P78332	P78332	1	1	1	Lung cancer antigen NY-LU-12;Protein G16;RNA-binding motif protein 6;RNA-binding protein 6;RNA-binding protein DEF-3	DEF3;RBM6	>P78332|RBM6_HUMAN RNA-binding protein 6 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	0.8	0.8	0.8	128.64	1123	1	1	9.7387E-08	0.8	0.8	0	0	0	0	0	0	0	0	0	0			
287	779	812	1832;1833	1568		399		251	P78346	P78346	1	1	1	Ribonuclease P protein subunit p30;RNase P subunit 2	RNASEP2;RPP30	>P78346|RPP30_HUMAN Ribonuclease P protein subunit p30 |Homo sapiens	1	1	1	1	1	1	1	1	1	1	6	6	6	29.321	268	1	1	0.076367	6	6	0	0	0	0	0	0	0	0	0	0	+		
288	92	96	217	163		400		668	P78347	P78347	1	1	1	Bruton tyrosine kinase-associated protein 135;General transcription factor II-I;SRF-Phox1-interacting protein;Williams-Beuren syndrome chromosomal region 6 protein	BAP135;GTF2I;WBSCR6	>P78347|GTF2I_HUMAN General transcription factor II-I |Homo sapiens	1	1	1	1	0	1	0	1	0	1	0.6	0.6	0.6	112.42	998		1	2.2892E-09	0	0.6	0	0	0	0	0	0	0	0	0	0			
289	28;809	29;842	63;64;1910;1911	50;1637		401		89	P83916	P83916	2	2	2	Chromobox protein homolog 1;Heterochromatin protein 1 homolog beta;Heterochromatin protein p25;HP1Hsbeta;M31;Modifier 1 protein;p25beta	CBX;CBX1	>P83916|CBX1_HUMAN Chromobox protein homolog 1 |Homo sapiens	1	2	2	2	2	2	2	2	2	2	17.3	17.3	17.3	21.418	185	2	2	7.3235E-07	17.3	17.3	1197200	891150	306030	119720	89115	30603	0	306030	1	0			
290	1142	1188	2680	2276		1396		422	P85037	P85037	1	1	1	Forkhead box protein K1;Myocyte nuclear factor	FOXK1;MNF	>P85037|FOXK1_HUMAN Forkhead box protein K1 |Homo sapiens	1	1	1	1	1	0	1	0	1	0	2	2	2	75.456	733	1		0.033435	2	0	0	0	0	0	0	0	0	0	0	0			
